uid,rosterNo,id,displayName,variantLabel,brand,parodyName,parodyBrand,chassisCode,engineCode,yearFrom,priceYen,priceStatus,bookValueYen,tier,rarity,origin,culture,scope,builtInContent,reliabilityBase,styleBase,aeroCeiling,stockPowerPs,quotedPowerPs,powerRpm,peakTorqueNm,torqueRpm,redlineRpm,displacementCc,engineConfig,aspiration,curbWeightKg,weightDistributionFront,drivetrain,wheelbaseMm,widthMm,heightMm,comHeightMm,dragCd,stockTyre,tyreCompound,topSpeedKmh,lateralG97,lateralG193,braking97To0M,braking161To0M,zeroTo97S,zeroTo161S,measuredFrom,dataConfidence,estimatedFields,tags,specSource,notes,flavour
MG-012,12,honda-city-turbo-ii-aa,Honda City Turbo II (AA),Honda City Turbo II (AA),Honda,Citee Turbo II (AA),Handa,AA,ER,1983,320000,researched,320000,entry,uncommon,jdm,Front-drive tuner,L,yes,88,12,0.35,110,,5500,160,3000,6500,1231,I4,turbo,735,62,FF,2220,1625,1470,500,0.38,185/60R13,touring,180,,,,,,,modelled,LOW,rl fr com cd,FF Turbo Piston 80s JDM,cars.json,FH6 carries only the naturally aspirated City E II at 63 PS; there is no Turbo II.,
MG-013,13,,Nissan S-Cargo,Nissan S-Cargo,Nissan,,,,,1989,330000,researched,,entry,,jdm,Oddball,L,no,93,,,73,,,115,,,1490,,,950,62,FWD,,,,,,,,138.9,0.83,0.85,57.6,,17.374,,,,,,forza-fh6-roster-data.csv,Same S-Cargo. Identical throughout.,
MG-014,14,toyota-sera-exy10,Toyota Sera (EXY10),Toyota Sera (EXY10),Toyota,Serra (EXY10),Toyoda,EXY10,5E-FHE,1991,340000,researched,340000,entry,uncommon,jdm,Oddball,L,yes,95,14,0.45,109,,6400,132,5200,7000,1497,I4,NA,930,62,FF,2300,1650,1265,460,0.32,175/65R14,touring,193,0.87,0.89,50.5,121.2,10.405,30.621,forza-panel,MED,rl fr com cd,FF NA Piston 90s JDM,cars.json,Same EXY10 Sera.,
MG-015,15,,Subaru Vivio RX-R (KK4),Subaru Vivio RX-R (KK4),Subaru,,,,,1994,380000,researched,,entry,,jdm,Kei,L,no,88,,,64,,,88,,,660,,,760,58,AWD,,,,,,,,170.8,0.85,0.9,48.2,121,11.348,46.369,,,,,forza-fh6-roster-data.csv,Same KK4 Vivio RX-R. Identical PS and N.m; 760 against our 700 kg.,
MG-016,16,,Suzuki Jimny (JA11),Suzuki Jimny (JA11),Suzuki,,,,,,390000,STAND-IN,,entry,,jdm,Kurokan,L,no,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,
MG-017,17,suzuki-alto-works-ha21s,Suzuki Alto Works (HA21S),Suzuki Alto Works RS/Z (HA21S),Suzuki,Alta Works (HA21S),Suzuko,HA21S,K6A,1994,400000,researched,400000,entry,common,jdm,Kei,L,yes,91,9,0.30,64,,6500,103,3500,8500,658,I3,turbo,650,64,FF,2335,1395,1380,480,0.33,155/65R13,eco,150,,,,,,,modelled,MED,rl fr com cd,FF Turbo Piston Kei 90s JDM,cars.json,No Suzuki marque in FH6 at all.,
MG-018,18,,Daihatsu Mira TR-XX Avanzato R (L502S),Daihatsu Mira TR-XX Avanzato R (L502S),Daihatsu,,,,,,420000,researched,,entry,,jdm,Kei,L,no,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,forza-fh6-roster-data.csv,No Daihatsu marque in FH6 at all.,
MG-019,19,,Eunos Roadster (NA6CE),Eunos Roadster (NA6CE),Eunos,,,,,1994,440000,researched,,everyday,,jdm,Touge,L,no,96,,,130,,,149,,,1840,,,1057,51,RWD,,,,,,,,202.3,0.84,0.84,49.7,123.2,8.8,25.962,,,,,forza-fh6-roster-data.csv,"Forza's is the NA8C 1.84 L at 130 PS / 1057 kg against our NA6CE 1.6 L at 120 PS / 940 kg, so 8% more power and 12% more weight. Same NA generation, bigger engine.",
MG-020,20,honda-crx-sir-ef8,Honda CR-X SiR (EF8),Honda CR-X SiR (EF8),Honda,CR-S SiR (EF8),Handa,EF8,B16A,1991,480000,researched,480000,everyday,uncommon,jdm,Touge,L,yes,96,13,0.70,160,,7600,152,7000,8000,1595,I4,NA,980,62,FF,2300,1675,1270,420,0.271,195/60R14,performance,250,0.89,0.88,45.3,116.1,7.162,20.441,forza-panel,MED,rl fr com,FF NA Piston 80s JDM,cars.json,"EF-chassis CR-X SiR, B16A. Identical PS and N.m.",
MG-021,21,honda-prelude-si-vtec-bb4,Honda Prelude Si VTEC (BB4),Honda Prelude Si VTEC (BB4),Honda,Prelood Si-V (BB4),Handa,BB4,H22A,1994,490000,researched,490000,everyday,common,jdm,Front-drive tuner,L,yes,95,13,0.70,162,,6800,207,5500,7600,2157,I4,NA,1302,62,FF,2550,1765,1290,460,0.366,205/55R15,performance,221,0.88,0.89,44.3,113.9,7.168,20.461,forza-panel,MED,rl com cd,FF NA Piston 90s JDM,cars.json,"Forza's is the US-market 2.26 L H23 Prelude Si, 162 PS / 1302 kg, against our JDM H22A Si VTEC at 200 PS / 1240 kg. Different engine, 19% less power.",
MG-022,22,nissan-silvia-s13,Nissan Silvia (S13),Nissan Silvia K's (S13),Nissan,Silvea (S13),Nissen,S13,SR20DET,1989,500000,researched,500000,everyday,common,jdm,Drift,Drift Pack,yes,92,15,0.85,175,,6000,275,4000,7500,1998,I4,turbo,1140,53,FR,2475,1690,1290,480,0.305,205/60R15,performance,245.2,0.86,0.89,48.4,119.1,6.331,17.195,forza-panel-override,MED,fr com cd,FR Turbo Piston 80s JDM,cars.json,"LOUD FLAG: Forza's 1989 S13 K's runs the 1.81 L CA18DET at 175 PS / 1121 kg. Ours is the SR20DET 2.0 at 205 PS / 1150 kg. Same S13 generation, earlier engine, 15% less power.  || WEIGHT CONFLICT: ForzaLabs 2472 lbs vs Forza Wiki 2513 lbs; kudosprime reads 1140 kg, so Forza Wiki wins and 1139.9 kg is used  || wiki disagrees on weight wiki 2513 vs ForzaLabs 2472; front% wiki 54 vs ForzaLabs 53",
MG-023,23,toyota-mr2-aw11,Toyota MR2 (AW11),Toyota MR2 SC (AW11),Toyota,MR-II (AW11),Toyoda,AW11,4A-GZE,1989,510000,researched,510000,everyday,uncommon,jdm,Touge,E,yes,93,13,0.75,147,,6400,186,4400,7500,1587,I4,supercharged,1188,43,MR,2320,1665,1250,450,0.339,185/60R14,touring,226,0.84,0.87,47.5,118.8,6.882,19.44,forza-panel,MED,com,MR Supercharged Piston 80s JDM,cars.json,"Same AW11 supercharged. 147 against our 145 PS, but 1188 against our 1070 kg is an 11% gap worth a look.",
MG-024,24,,Mitsubishi Delica Star Wagon (P35W),Mitsubishi Delica Star Wagon (P35W),Mitsubishi,,,,,,520000,STAND-IN,,everyday,,jdm,Kurokan,L,no,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,
MG-025,25,,Mazda Familia GT-R (BG8Z),Mazda Familia GT-R (BG8Z),Mazda,,,,,,560000,researched,,everyday,,jdm,Rally-bred,L,no,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,forza-fh6-roster-data.csv,No Familia GT-R in FH6.,
MG-026,26,honda-beat-pp1,Honda Beat (PP1),Honda Beat (PP1),Honda,Beet (PP1),Handa,PP1,E07A,1991,580000,researched,580000,everyday,uncommon,jdm,Kei,Kei Pack,yes,91,14,0.50,64,,8100,60,7000,8500,656,I3,NA,760,43,MR,2280,1395,1175,420,0.382,165/60R14,touring,177,0.87,0.92,49.3,119.1,11.946,38.124,forza-panel,HIGH,com cd,MR NA Piston Kei 90s JDM,cars.json,Same PP1 Beat. Identical throughout.,
MG-027,27,nissan-cefiro-a31,Nissan Cefiro (A31),Nissan Cefiro (A31),Nissan,Cefyro (A31),Nissen,A31,RB20DET,1988,620000,researched,620000,everyday,common,jdm,Drift,Drift Pack,yes,93,11,0.60,205,,6400,265,3200,7400,1998,I6,turbo,1370,55,FR,2670,1695,1375,535,0.31,205/60R15,performance,220,,,,,,,modelled,MED,rl fr com cd,FR Turbo Piston 80s JDM,cars.json,No Cefiro in FH6.,
MG-028,28,,Suzuki Cappuccino (EA11R),Suzuki Cappuccino (EA11R),Suzuki,,,,,,630000,researched,,everyday,,jdm,Kei,Kei Pack,no,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,forza-fh6-roster-data.csv,No Suzuki marque in FH6 at all.,
MG-029,29,honda-civic-sir2-eg6,Honda Civic SiR-II (EG6),Honda Civic SiR-II (EG6),Honda,Civik SiR-II (EG6),Handa,EG6,B16A,1991,650000,researched,650000,everyday,common,jdm,Touge,P,yes,97,12,0.65,170,,7800,157,7300,8000,1595,I4,NA,1050,62,FF,2570,1695,1350,500,0.32,195/55R15,performance,215,,,,,,,modelled,MED,fr com,FF NA Piston 90s JDM,cars.json,FH6 has no EG-generation Civic. Its 1991 CRX SiR is the EF chassis and is mapped to our CR-X SiR instead.,
MG-030,30,,Nissan Safari (Y60),Nissan Safari (Y60),Nissan,,,,,,660000,STAND-IN,,everyday,,jdm,Kurokan,L,no,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,
MG-031,31,,Toyota Starlet Glanza V (EP91),Toyota Starlet Glanza V (EP91),Toyota,,,,,1996,680000,researched,,everyday,,jdm,Front-drive tuner,L,no,93,,,135,,,156,,,1330,,,950,65,FWD,,,,,,,,222.9,0.86,0.88,45.8,115.9,7.86,21.688,,,,,forza-fh6-roster-data.csv,Same EP91 Glanza V.,
MG-032,32,,Datsun 510 Bluebird 1600 SSS,Datsun 510 Bluebird 1600 SSS,Datsun,,,,,,690000,researched,,everyday,,jdm,Kyusha,Kyusha Pack,no,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,
MG-033,33,,Toyota Land Cruiser 70 (LJ71),Toyota Land Cruiser 70 (LJ71),Toyota,,,,,,700000,STAND-IN,,everyday,,jdm,Kurokan,L,no,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,
MG-034,34,,Autozam AZ-1 (PG6SA),Autozam AZ-1 (PG6SA),Autozam,,,,,,720000,researched,,everyday,,jdm,Kei,Legend,no,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,
MG-035,35,,Nissan Laurel Club S (C33),Nissan Laurel Club S (C33),Nissan,,,,,,730000,researched,,everyday,,jdm,Drift,Drift Pack,no,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,
MG-036,36,nissan-180sx-rps13,Nissan 180SX (RPS13),Nissan 180SX ('93 Type II),Nissan,180ZX (RPS13),Nissen,RPS13,SR20DET,1993,750000,researched,750000,enthusiast,common,jdm,Drift,P,yes,92,15,0.85,157,,6000,275,4000,7500,1998,I4,turbo,1322,53,FR,2475,1690,1290,480,0.364,205/60R15,performance,222,0.82,0.83,48.9,120.8,8.332,24.706,forza-panel,MED,fr com cd,FR Turbo Piston 90s JDM,cars.json,"LOUD FLAG: Forza's is the US-market S13 240SX with the 2.39 L naturally aspirated KA24DE, 157 PS / 1322 kg. Ours is the JDM 180SX with the 2.0 L SR20DET turbo, 205 PS / 1220 kg. Same chassis family, entirely different engine, 23% less power. FH6's other S13, the 1994 240SX SE, carries no spec data at all.",
MG-037,37,toyota-aristo-30v-jzs147,Toyota Aristo 3.0V (JZS147),Toyota Aristo 3.0V (JZS147),Toyota,Aresto 3.0V (JZS147),Toyoda,JZS147,2JZ-GTE,1991,770000,researched,770000,everyday,common,jdm,Wangan,L,yes,95,12,0.60,324,280,5600,431,3600,6600,2997,I6,twin-turbo,1680,55,FR,2780,1795,1420,530,0.31,225/55R16,sport,250,,,,,,,modelled,MED,ps rl fr com z,FR Turbo Piston 90s JDM,cars.json,No Aristo in FH6.,
MG-038,38,,VW Golf GTI 16V (Mk2),VW Golf GTI 16V (Mk2),VW,,,,,,790000,researched,,enthusiast,,gaisha,Front-drive tuner,Gaisha II,no,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,
MG-039,39,,Daihatsu Copen (L880K),Daihatsu Copen (L880K),Daihatsu,,,,,,820000,researched,,everyday,,jdm,Kei,2004+ Wave,no,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,forza-fh6-roster-data.csv,No Daihatsu marque in FH6 at all.,
MG-040,40,mazda-savanna-rx7-fc3s,Mazda Savanna RX-7 (FC3S),Mazda Savanna RX-7 GT-X (FC3S),Mazda,Sabanna FX-7 (FC3S),Mazuda,FC3S,13B-T,1990,850000,researched,850000,enthusiast,uncommon,jdm,Rotary,P,yes,82,15,0.90,203,,6500,245,3500,7000,1308,rotary-2,turbo,1352,51,FR,2420,1690,1265,480,0.336,205/60R15,performance,251,0.87,0.89,46.1,113.8,6.517,17.3,forza-panel,MED,fr com cd,FR Turbo Rotary 80s JDM,cars.json,"Same FC3S Savanna, but Forza models the later Turbo II: 203 PS / 1352 kg against our 185 PS / 1230 kg, so 10% more power and 10% more weight. FH6's other FC-era car, the 1985 RX-7 at 137 PS, is the naturally aspirated version and sits further away still.",
MG-041,41,toyota-chaser-tourer-v-jzx90,Toyota Chaser Tourer V (JZX90),Toyota Chaser Tourer V (JZX90),Toyota,Chayser Tourer V (JZX90),Toyoda,JZX90,1JZ-GTE,1991,870000,researched,870000,enthusiast,common,jdm,Drift,P,yes,94,13,0.65,280,,6200,363,4800,7000,2491,I6,twin-turbo,1540,52,FR,2730,1750,1390,530,0.385,205/60R15,performance,257,0.86,0.87,47.2,116.7,5.933,14.526,forza-panel,MED,fr com cd,FR Turbo Piston 90s JDM,cars.json,FH6 has no JZX90. Forza's 1991 Chaser GT Twin Turbo is the preceding JZX81 generation: same 1JZ-GTE and near-identical torque (362 against our 363 N.m) but 1540 against our 1450 kg. Our JZX100 entry takes Forza's 1997 Chaser 2.5 Tourer V.,
MG-042,42,toyota-sprinter-trueno-ae86,Toyota Sprinter Trueno (AE86),Toyota Sprinter Trueno GT-APEX (AE86),Toyota,Sprinta Truono (AE86),Toyoda,AE86,4A-GE,1985,890000,researched,890000,enthusiast,uncommon,jdm,Touge,P,yes,94,16,0.70,130,,6600,149,5200,7600,1587,I4,NA,950,53,FR,2400,1625,1335,450,0.41,185/70R13,touring,202,0.84,0.84,48.7,121.2,8.64,25.743,forza-panel,HIGH,com,FR NA Piston 80s JDM,cars.json,Same AE86 GT Apex; identical PS and N.m.,
MG-043,43,,Eunos Cosmo 20B Type S (JC),Eunos Cosmo 20B Type S (JC),Eunos,,,,,,910000,researched,,enthusiast,,jdm,Rotary,L,no,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,
MG-044,44,,Nissan Pulsar GTI-R (RNN14),Nissan Pulsar GTI-R (RNN14),Nissan,,,,,1990,930000,researched,,enthusiast,,jdm,Rally-bred,L,no,84,,,230,,,283,,,2000,,,1240,62,AWD,,,,,,,,243.2,0.86,0.86,45,116.3,4.928,13.931,,,,,forza-fh6-roster-data.csv,Same RNN14. Identical PS.,
MG-045,45,,Subaru Alcyone SVX Version L (CXD),Subaru Alcyone SVX Version L (CXD),Subaru,,,,,,950000,researched,,enthusiast,,jdm,Oddball,E,no,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,
MG-046,46,,Mitsubishi Starion GSR-VR (A187A),Mitsubishi Starion GSR-VR (A187A),Mitsubishi,,,,,,970000,researched,,enthusiast,,jdm,Wangan,E,no,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,
MG-047,47,,1965 Mini Cooper S (Mk1),1965 Mini Cooper S (Mk1),Mini,,,,,,1000000,researched,,enthusiast,,gaisha,Oddball,Gaisha,no,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,
MG-048,48,nissan-silvia-ks-s14,Nissan Silvia K's (S14),"Nissan Silvia K's (S14, '94)",Nissan,Silvea K's (S14),Nissen,S14,SR20DET,1994,1020000,researched,1020000,enthusiast,common,jdm,Drift,P,yes,92,14,0.85,220,,6000,275,4800,7500,1998,I4,turbo,1265,54,FR,2525,1730,1295,460,0.331,205/55R16,performance,256,0.9,0.94,45.8,112.3,6.229,17.209,forza-panel,MED,fr com cd,FR Turbo Piston 90s JDM,cars.json,"S14 K's, SR20DET. Identical output.",
MG-049,49,,Alfa Romeo 75 3.0 V6,Alfa Romeo 75 3.0 V6,Alfa,,,,,,1100000,researched,,enthusiast,,gaisha,Oddball,Gaisha,no,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,forza-fh6-roster-data.csv,No Alfa 75 in FH6.,
MG-050,50,toyota-mr2-sw20,Toyota MR2 (SW20),"Toyota MR2 GT (SW20, '95)",Toyota,MR-II (SW20),Toyoda,SW20,3S-GTE,1995,1180000,researched,1180000,enthusiast,common,jdm,Touge,L,yes,90,15,0.90,244,,6000,304,3200,7000,1998,I4,turbo,1205,42,MR,2400,1695,1240,460,0.348,225/50R15,performance,267,0.9,0.91,44.9,114.4,5.429,13.953,forza-panel,MED,rl fr com,MR Turbo Piston 80s JDM,cars.json,"Same SW20 turbo but a later revision: 244 PS against our 225 PS, 8% more. Identical torque near 305 N.m and 42 to 43% front.",
MG-051,51,,Toyota Celica GT-Four (ST205),Toyota Celica GT-Four (ST205),Toyota,,,,,1994,1350000,researched,,enthusiast,,jdm,Rally-bred,L,no,89,,,259,,,324,,,2000,,,1440,59,AWD,,,,,,,,248,0.9,0.93,42.6,107.3,5.369,15.659,,,,,forza-fh6-roster-data.csv,"Same ST205. SOURCE CONFLICT on power, see the reconciliation note.  || POWER CONFLICT: ForzaLabs 272 hp vs Forza Wiki 255 hp; kudosprime reads 190 kW (255 hp), so Forza Wiki wins and 258.5 PS is used  || WEIGHT CONFLICT: ForzaLabs 3064 lbs vs Forza Wiki 3175 lbs; kudosprime reads 1440 kg, so Forza Wiki wins and 1440.2 kg is used  || wiki disagrees on power wiki 255 vs ForzaLabs 272; torque wiki 224 vs ForzaLabs 239; weight wiki 3175 vs ForzaLabs 3064; front% wiki 60 vs ForzaLabs 59",
MG-052,52,mazda-rx7-fd3s,Mazda RX-7 (FD3S),"Mazda RX-7 Type R (FD3S, '92)",Mazda,FX-7 (FD3S),Mazuda,FD3S,13B-REW,1992,1450000,researched,1450000,enthusiast,uncommon,jdm,Rotary,P,yes,80,18,1.00,255,,6500,294,5000,8000,1308,rotary-2,twin-turbo,1260,50,FR,2425,1780,1230,440,0.282,225/50R16,sport,286,0.92,0.95,44.2,109.3,5.24,13,forza-panel,HIGH,com,FR Turbo Rotary 90s JDM,cars.json,"Early FD3S Type R. Identical PS, N.m, kg and front%. Hand-measured car.",
MG-053,53,,Honda Civic Type R (EK9),Honda Civic Type R (EK9),Honda,,,,,1997,1480000,researched,,enthusiast,,jdm,Front-drive tuner,L,no,96,,,185,,,160,,,1600,,,1090,62,FWD,,,,,,,,243.2,0.87,0.89,45.5,114.9,5.657,17.28,,,,,forza-fh6-roster-data.csv,EK9. Identical PS and N.m; 1090 against our 1040 kg.,
MG-054,54,,Toyota Altezza RS200 Z Edition (SXE10),Toyota Altezza RS200 Z Edition (SXE10),Toyota,,,,,1999,1620000,researched,,enthusiast,,jdm,Drift,L,no,95,,,211,,,216,,,2000,,,1360,50,RWD,,,,,,,,252,0.89,0.91,45.4,113.1,6.828,17.656,,,,,forza-fh6-roster-data.csv,Same SXE10 RS200 Z Edition. Identical 216 N.m. Hand-measured car.,
MG-055,55,,"Honda Integra Type R (DC2, '99)","Honda Integra Type R (DC2, '99)",Honda,,,,,2001,1680000,researched,,enthusiast,,jdm,Front-drive tuner,L,no,96,,,198,,,176,,,1800,,,1197,62,FWD,,,,,,,,250.6,0.9,0.91,44,111.7,6.152,14.506,,,,,forza-fh6-roster-data.csv,"MAINTAINER-FLAGGED TRAP: filed under Acura, not Honda. US-market DC2 facelift at 198 PS / 1197 kg against our JDM 200 PS / 1060 kg, so 137 kg (+13%) heavier. Hand-measured car.",
MG-056,56,,Toyota Chaser Tourer V (JZX100),Toyota Chaser Tourer V (JZX100),Toyota,,,,,1991,1750000,researched,,enthusiast,,jdm,Drift,Drift Pack,no,94,,,280,,,362,,,2490,,,1540,52,RWD,,,,,,,,256.9,0.86,0.87,47.2,116.7,5.933,14.526,,,,,forza-fh6-roster-data.csv,FH6 has no JZX90. Forza's 1991 Chaser GT Twin Turbo is the preceding JZX81 generation: same 1JZ-GTE and near-identical torque (362 against our 363 N.m) but 1540 against our 1450 kg. Our JZX100 entry takes Forza's 1997 Chaser 2.5 Tourer V.,
MG-057,57,subaru-impreza-wrx-sti-gc8,Subaru Impreza WRX STI (GC8),Subaru Impreza WRX STi Version (GC8),Subaru,Impressa VRX (GC8),Subaro,GC8,EJ20,1994,1800000,researched,1800000,enthusiast,uncommon,jdm,Rally-bred,L,yes,86,15,0.95,250,,6500,309,3500,7900,1994,flat-4,turbo,1230,59,AWD,2520,1690,1390,470,0.36,205/55R15,performance,230,,,,,,,modelled,HIGH,fr com cd,AWD Turbo Piston 90s JDM,cars.json,"FH6 has no plain GC8 WRX STI. Its only GC8 is the 22B, which is our separate roster entry.",
MG-058,58,nissan-fairlady-z-z32,Nissan Fairlady Z (Z32),Nissan Fairlady Z Version S TT (Z32),Nissan,Fairlody Z (Z32),Nissen,Z32,VG30DETT,1994,1850000,researched,1850000,enthusiast,common,jdm,Wangan,L,yes,84,16,0.95,280,280,6400,388,3600,7000,2960,V6,twin-turbo,1520,54,FR,2450,1800,1255,480,0.378,225/50R16,performance,265,0.9,0.91,45.5,113.2,5.441,14.448,forza-panel,MED,rl fr com,FR Turbo Piston 80s JDM,cars.json,"Same Z32 twin turbo, later Version S trim. Forza labels 280 PS, matching our spec book's gps; 1520 against our 1570 kg.",
MG-059,59,,Honda Integra Type R (DC5),Honda Integra Type R (DC5),Honda,,,,,2001,2080000,researched,,enthusiast,,jdm,Front-drive tuner,2004+ Wave,no,97,,,198,,,176,,,1800,,,1197,62,FWD,,,,,,,,250.6,0.9,0.91,44,111.7,6.152,14.506,,,,,forza-fh6-roster-data.csv,"MAINTAINER-FLAGGED TRAP: filed under Acura, not Honda. US-market DC2 facelift at 198 PS / 1197 kg against our JDM 200 PS / 1060 kg, so 137 kg (+13%) heavier. Hand-measured car.",
MG-060,60,,Mitsubishi GTO Twin Turbo (Z16A),Mitsubishi GTO Twin Turbo (Z16A),Mitsubishi,,,,,1997,2150000,researched,,enthusiast,,jdm,Wangan,E,no,83,,,324,,,427,,,2970,,,1680,61,AWD,,,,,,,,268.3,0.89,0.91,42.4,107.1,5.611,14.223,,,,,forza-fh6-roster-data.csv,"Same Z16A GTO twin turbo, later facelift. Torque identical at 427 N.m; 324 against our 300 PS, our own quoted figure being 280. This is the car behind the 'Mitsubishi GTO 1997' row in forza-telemetry.md.",
MG-061,61,,Toyota Soarer 2.5 GT-T (JZZ30),Toyota Soarer 2.5 GT-T (JZZ30),Toyota,,,,,,2200000,researched,,enthusiast,,jdm,Wangan,VIP Pack,no,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,
