uid,rosterNo,displayName,column,value,sourceUrl,confidence,notes,applied
MG-006,6,Toyota Corolla 1.5 SE Saloon (AE91),engineCode,5A-F,https://www.carfolio.com/toyota-corolla-1500-se-320100,HIGH,,yes
MG-006,6,Toyota Corolla 1.5 SE Saloon (AE91),engineConfig,I4,https://www.carfolio.com/toyota-corolla-1500-se-320100,HIGH,,yes
MG-006,6,Toyota Corolla 1.5 SE Saloon (AE91),heightMm,1365,https://www.carfolio.com/toyota-corolla-1500-se-320100,HIGH,,yes
MG-006,6,Toyota Corolla 1.5 SE Saloon (AE91),peakTorqueNm,123,https://www.carfolio.com/toyota-corolla-1500-se-320100,HIGH,,yes
MG-006,6,Toyota Corolla 1.5 SE Saloon (AE91),powerRpm,6000,https://www.carfolio.com/toyota-corolla-1500-se-320100,HIGH,,yes
MG-006,6,Toyota Corolla 1.5 SE Saloon (AE91),quotedPowerPs,85,https://www.carfolio.com/toyota-corolla-1500-se-320100,HIGH,Same catalog figure; no separate brochure figure found,yes
MG-006,6,Toyota Corolla 1.5 SE Saloon (AE91),stockPowerPs,85,https://www.carfolio.com/toyota-corolla-1500-se-320100,HIGH,,yes
MG-006,6,Toyota Corolla 1.5 SE Saloon (AE91),stockTyre,155SR13,https://www.carfolio.com/toyota-corolla-1500-se-320100,HIGH,Source shows '155 SR 13'; reformatted without spaces to match the file's existing tyre-size notation,yes
MG-006,6,Toyota Corolla 1.5 SE Saloon (AE91),styleBase,5,,SUGGESTION,Generic late-80s three-box saloon; honest but visually unremarkable,yes
MG-006,6,Toyota Corolla 1.5 SE Saloon (AE91),torqueRpm,3600,https://www.carfolio.com/toyota-corolla-1500-se-320100,HIGH,,yes
MG-006,6,Toyota Corolla 1.5 SE Saloon (AE91),wheelbaseMm,2430,https://www.carfolio.com/toyota-corolla-1500-se-320100,HIGH,,yes
MG-006,6,Toyota Corolla 1.5 SE Saloon (AE91),widthMm,1655,https://www.carfolio.com/toyota-corolla-1500-se-320100,HIGH,,yes
MG-006,6,Toyota Corolla 1.5 SE Saloon (AE91),yearFrom,1987,https://www.carfolio.com/toyota-corolla-1500-se-320100,HIGH,,yes
MG-007,7,Mazda Familia 1.5 (BG),aspiration,NA,https://mymotorlist.com/engines/mazda/b5/,MED,,yes
MG-007,7,Mazda Familia 1.5 (BG),displacementCc,1498,https://mymotorlist.com/engines/mazda/b5/,MED,,yes
MG-007,7,Mazda Familia 1.5 (BG),engineCode,B5,https://mymotorlist.com/engines/mazda/b5/,LOW,A separate search result cites 90hp for the JDM 1.5 16v BG5P grade against this source's 94PS; the exact body style (sedan/hatch/wagon) of this roster entry is also unconfirmed,yes
MG-007,7,Mazda Familia 1.5 (BG),engineConfig,I4,https://mymotorlist.com/engines/mazda/b5/,MED,,yes
MG-007,7,Mazda Familia 1.5 (BG),peakTorqueNm,123,https://mymotorlist.com/engines/mazda/b5/,LOW,Source gives 122.6Nm; rounded,yes
MG-007,7,Mazda Familia 1.5 (BG),powerRpm,6500,https://mymotorlist.com/engines/mazda/b5/,LOW,,yes
MG-007,7,Mazda Familia 1.5 (BG),quotedPowerPs,94,https://mymotorlist.com/engines/mazda/b5/,LOW,Same figure and caveat as stockPowerPs,yes
MG-007,7,Mazda Familia 1.5 (BG),stockPowerPs,94,https://mymotorlist.com/engines/mazda/b5/,LOW,Conflicts with a 90hp figure seen for the JDM BG5P grade elsewhere; flagging rather than resolving - recommend the maintainer verify against a period JDM catalogue,yes
MG-007,7,Mazda Familia 1.5 (BG),styleBase,9,,SUGGESTION,Crisp aerodynamic late-80s Mazda design language; well regarded for its era without being flamboyant,yes
MG-007,7,Mazda Familia 1.5 (BG),torqueRpm,4000,https://mymotorlist.com/engines/mazda/b5/,LOW,,yes
MG-007,7,Mazda Familia 1.5 (BG),yearFrom,1989,https://cars.japanesecartrade.com/detail/mazda/familia/clair/166155,MED,BG generation launched February 1989,yes
MG-010,10,Toyota Carina (AT150),quotedPowerPs,83,https://www.toyota-global.com/company/history_of_toyota/75years/vehicle_lineage/car/id60002570/index.html,HIGH,Toyota's own official heritage spec sheet for the 1500 DX grade (3A-U); matches existing stockPowerPs/powerRpm exactly,yes
MG-011,11,Daihatsu Mira TR-XX (L70),aspiration,turbo,https://en.wikipedia.org/wiki/Daihatsu_Mira,HIGH,Turbocharged and intercooled,yes
MG-011,11,Daihatsu Mira TR-XX (L70),chassisCode,L70,https://en.wikipedia.org/wiki/Daihatsu_Mira,MED,Wikipedia labels this Daihatsu's 'L200 series' generation; L70/L80 is the specific chassis suffix used by period JDM catalogues and matches the roster's own naming,yes
MG-011,11,Daihatsu Mira TR-XX (L70),curbWeightKg,640,https://en.wikipedia.org/wiki/Daihatsu_Mira,MED,FF-variant weight; 4WD versions weighed 670-690kg,"no: research covers the 1990 L200-generation Mira, row is the 1985-90 L70"
MG-011,11,Daihatsu Mira TR-XX (L70),displacementCc,659,https://www.automobile-catalog.com/car/1991/565130/daihatsu_mira_tr-xx_efi_limited.html,LOW,Source page returned a paywall on direct fetch; figure comes from a search-engine synthesis of its content,"no: research covers the 1990 L200-generation Mira, row is the 1985-90 L70"
MG-011,11,Daihatsu Mira TR-XX (L70),drivetrain,FF,https://en.wikipedia.org/wiki/Daihatsu_Mira,MED,TR-XX was sold as FF or 4WD; used the lighter FF spec that matches the curbWeightKg reported here. File mixes FF/FWD and FR/RWD tokens inconsistently,yes
MG-011,11,Daihatsu Mira TR-XX (L70),engineCode,EF-JL,https://en.wikipedia.org/wiki/Daihatsu_Mira,MED,,"no: research covers the 1990 L200-generation Mira, row is the 1985-90 L70"
MG-011,11,Daihatsu Mira TR-XX (L70),engineConfig,I3,https://en.wikipedia.org/wiki/Daihatsu_Mira,MED,,yes
MG-011,11,Daihatsu Mira TR-XX (L70),heightMm,1415,https://en.wikipedia.org/wiki/Daihatsu_Mira,MED,,"no: research covers the 1990 L200-generation Mira, row is the 1985-90 L70"
MG-011,11,Daihatsu Mira TR-XX (L70),peakTorqueNm,92,https://www.automobile-catalog.com/car/1991/565130/daihatsu_mira_tr-xx_efi_limited.html,LOW,Source page returned a paywall on direct fetch; figure comes from a search-engine synthesis of its content,"no: research covers the 1990 L200-generation Mira, row is the 1985-90 L70"
MG-011,11,Daihatsu Mira TR-XX (L70),powerRpm,7500,https://www.automobile-catalog.com/car/1991/565130/daihatsu_mira_tr-xx_efi_limited.html,LOW,Source page returned a paywall on direct fetch; power figure itself (64PS) is corroborated by Wikipedia but rpm is not,"no: research covers the 1990 L200-generation Mira, row is the 1985-90 L70"
MG-011,11,Daihatsu Mira TR-XX (L70),quotedPowerPs,64,https://en.wikipedia.org/wiki/Daihatsu_Mira,HIGH,Source states 64PS was the maximum power allowed for kei cars under the gentlemen's agreement; matches existing stockPowerPs exactly,"no: research covers the 1990 L200-generation Mira, row is the 1985-90 L70"
MG-011,11,Daihatsu Mira TR-XX (L70),stockTyre,155/60R13,https://www.automobile-catalog.com/car/1991/565130/daihatsu_mira_tr-xx_efi_limited.html,LOW,Source page returned a paywall on direct fetch; figure comes from a search-engine synthesis of its content,"no: research covers the 1990 L200-generation Mira, row is the 1985-90 L70"
MG-011,11,Daihatsu Mira TR-XX (L70),styleBase,10,,SUGGESTION,Hot-hatch kei turbo with a body kit and spoiler; distinctly sportier than the plain Mira,yes
MG-011,11,Daihatsu Mira TR-XX (L70),torqueRpm,4000,https://www.automobile-catalog.com/car/1991/565130/daihatsu_mira_tr-xx_efi_limited.html,LOW,Source page returned a paywall on direct fetch; figure comes from a search-engine synthesis of its content,"no: research covers the 1990 L200-generation Mira, row is the 1985-90 L70"
MG-011,11,Daihatsu Mira TR-XX (L70),wheelbaseMm,2280,https://en.wikipedia.org/wiki/Daihatsu_Mira,HIGH,,"no: research covers the 1990 L200-generation Mira, row is the 1985-90 L70"
MG-011,11,Daihatsu Mira TR-XX (L70),widthMm,1395,https://en.wikipedia.org/wiki/Daihatsu_Mira,HIGH,,yes
MG-011,11,Daihatsu Mira TR-XX (L70),yearFrom,1990,https://en.wikipedia.org/wiki/Daihatsu_Mira,MED,Third-generation Mira/TR-XX launched March 1990,"no: research covers the 1990 L200-generation Mira, row is the 1985-90 L70"
MG-012,12,Honda City Turbo II (AA),quotedPowerPs,110,https://www.carfolio.com/honda-city-turbo-ii-223806,HIGH,Matches existing stockPowerPs/powerRpm exactly; widely corroborated across independent specialist databases,yes
MG-014,14,Toyota Sera (EXY10),quotedPowerPs,110,https://www.carfolio.com/toyota-sera-15730,HIGH,Source gives 110PS at 6400rpm against existing stockPowerPs=109 - a one-PS gap consistent with a rounded brochure figure vs a measured crank figure,yes
MG-015,15,Subaru Vivio RX-R (KK4),aspiration,supercharged,https://en.wikipedia.org/wiki/Subaru_Vivio,HIGH,,yes
MG-015,15,Subaru Vivio RX-R (KK4),chassisCode,KK4,https://en.wikipedia.org/wiki/Subaru_Vivio,MED,,yes
MG-015,15,Subaru Vivio RX-R (KK4),engineCode,EN07X,https://en.wikipedia.org/wiki/Subaru_Vivio,MED,,yes
MG-015,15,Subaru Vivio RX-R (KK4),engineConfig,I4,https://en.wikipedia.org/wiki/Subaru_Vivio,MED,Subaru's EN07 kei engine is an inline-4; unlike most rivals' inline-3 kei units,yes
MG-015,15,Subaru Vivio RX-R (KK4),heightMm,1385,https://en.wikipedia.org/wiki/Subaru_Vivio,MED,,yes
MG-015,15,Subaru Vivio RX-R (KK4),quotedPowerPs,64,https://en.wikipedia.org/wiki/Subaru_Vivio,HIGH,Kei self-regulation cap; matches existing stockPowerPs exactly,yes
MG-015,15,Subaru Vivio RX-R (KK4),styleBase,11,,SUGGESTION,Sporty kei with characteristic RX-R spoiler and wheel treatment; distinctive but not flamboyant,yes
MG-015,15,Subaru Vivio RX-R (KK4),widthMm,1395,https://en.wikipedia.org/wiki/Subaru_Vivio,MED,,yes
MG-016,16,Suzuki Jimny (JA11),aspiration,turbo,https://en.wikipedia.org/wiki/Suzuki_Jimny,HIGH,Intercooled turbo; the JA11 generation was turbo-only,yes
MG-016,16,Suzuki Jimny (JA11),chassisCode,JA11,https://en.wikipedia.org/wiki/Suzuki_Jimny,HIGH,,yes
MG-016,16,Suzuki Jimny (JA11),curbWeightKg,860,https://cars.japanesecartrade.com/detail/suzuki/jimny/wild-wind-limited/117399,LOW,Figure is for the Wild Wind Limited special-edition trim specifically; not confirmed for the base grade this roster row appears to represent,yes
MG-016,16,Suzuki Jimny (JA11),displacementCc,657,https://en.wikipedia.org/wiki/Suzuki_Jimny,HIGH,,yes
MG-016,16,Suzuki Jimny (JA11),drivetrain,AWD,https://en.wikipedia.org/wiki/Suzuki_Jimny,HIGH,Jimny is a permanent 4x4; used AWD to match the file's existing token for other 4WD kei vehicles (Acty; Vivio),yes
MG-016,16,Suzuki Jimny (JA11),engineCode,F6A,https://en.wikipedia.org/wiki/Suzuki_Jimny,HIGH,,yes
MG-016,16,Suzuki Jimny (JA11),engineConfig,I3,https://en.wikipedia.org/wiki/Suzuki_Jimny,HIGH,,yes
MG-016,16,Suzuki Jimny (JA11),quotedPowerPs,55,https://en.wikipedia.org/wiki/Suzuki_Jimny,MED,Same figure as stockPowerPs; no separate brochure figure found,yes
MG-016,16,Suzuki Jimny (JA11),stockPowerPs,55,https://en.wikipedia.org/wiki/Suzuki_Jimny,HIGH,Launch-spec 1990 figure; power rose to 58PS in June 1991 and 64PS in February 1995 on the same JA11 chassis,yes
MG-016,16,Suzuki Jimny (JA11),styleBase,12,,SUGGESTION,Boxy classic go-anywhere off-roader silhouette; still instantly recognisable decades later,yes
MG-016,16,Suzuki Jimny (JA11),topSpeedKmh,120,https://en.wikipedia.org/wiki/Suzuki_Jimny,HIGH,,yes
MG-016,16,Suzuki Jimny (JA11),wheelbaseMm,2030,https://cars.japanesecartrade.com/detail/suzuki/jimny/wild-wind-limited/117399,MED,Figure is from the Wild Wind Limited special-edition trim listing; wheelbase is a fixed generation-wide dimension so should apply to the base grade too,yes
MG-016,16,Suzuki Jimny (JA11),widthMm,1395,https://cars.japanesecartrade.com/detail/suzuki/jimny/wild-wind-limited/117399,MED,Figure is from the Wild Wind Limited special-edition trim listing; width is a fixed generation-wide dimension so should apply to the base grade too,yes
MG-016,16,Suzuki Jimny (JA11),yearFrom,1990,https://en.wikipedia.org/wiki/Suzuki_Jimny,HIGH,,yes
MG-017,17,Suzuki Alto Works (HA21S),quotedPowerPs,64,https://www.automobile-catalog.com/car/1994/3356120/suzuki_alto_works_rsz.html,HIGH,"JIS net catalog figure for the RS/Z variant (658cc/103Nm), matching this row's existing stockPowerPs; kei-class 64PS self-regulation cap, not the 280PS ceiling",yes
MG-018,18,Daihatsu Mira TR-XX Avanzato R (L502S),aspiration,turbo,https://cars.japanesecartrade.com/detail/daihatsu/mira-tr-xx/tr-xx-avanzato-r/126511,MED,"Inferred from the TR-XX/Avanzato R turbo trim naming and 100Nm from only 659cc, consistent with the kei turbo class",yes
MG-018,18,Daihatsu Mira TR-XX Avanzato R (L502S),chassisCode,L502S,https://www.goo-net-exchange.com/catalog/DAIHATSU__MIRA_TRXX/5001561/,MED,"Matches displayName; accessed via search aggregation, not a direct page fetch",yes
MG-018,18,Daihatsu Mira TR-XX Avanzato R (L502S),curbWeightKg,700,https://www.goo-net-exchange.com/catalog/DAIHATSU__MIRA_TRXX/5001561/,MED,"FF 5MT grade; AT grade 710kg, 4WD Avanzato R4 grade 750kg per the same source family",yes
MG-018,18,Daihatsu Mira TR-XX Avanzato R (L502S),displacementCc,659,https://cars.japanesecartrade.com/detail/daihatsu/mira-tr-xx/tr-xx-avanzato-r/126511,MED,,yes
MG-018,18,Daihatsu Mira TR-XX Avanzato R (L502S),drivetrain,FF,https://www.goo-net-exchange.com/catalog/DAIHATSU__MIRA_TRXX/5001561/,MED,Avanzato R (without a 4) denotes Daihatsu's FF grade; Avanzato R4 is the separate 4WD trim,yes
MG-018,18,Daihatsu Mira TR-XX Avanzato R (L502S),engineConfig,I3,https://en.wikipedia.org/wiki/Daihatsu_J-series_engine,LOW,Standard architecture for all Daihatsu 660cc JB-family kei engines of this era; the specific engine code itself could not be confidently sourced this session (one listing garbled it as 'JB-JL'),"no: implausible, the Daihatsu JB 659cc DOHC 16v is an inline-4"
MG-018,18,Daihatsu Mira TR-XX Avanzato R (L502S),heightMm,1430,https://www.goo-net-exchange.com/catalog/DAIHATSU__MIRA_TRXX/5001561/,MED,"Accessed via search aggregation, not a direct page fetch",yes
MG-018,18,Daihatsu Mira TR-XX Avanzato R (L502S),peakTorqueNm,100,https://cars.japanesecartrade.com/detail/daihatsu/mira-tr-xx/tr-xx-avanzato-r/126511,MED,10.2kgm,yes
MG-018,18,Daihatsu Mira TR-XX Avanzato R (L502S),powerRpm,7500,https://cars.japanesecartrade.com/detail/daihatsu/mira-tr-xx/tr-xx-avanzato-r/126511,MED,,yes
MG-018,18,Daihatsu Mira TR-XX Avanzato R (L502S),quotedPowerPs,64,https://www.automobile-catalog.com/car/1995/568790/daihatsu_mira_tr-xx_avanzato_r.html,MED,Same as stockPowerPs; kei-class 64PS self-regulation cap,yes
MG-018,18,Daihatsu Mira TR-XX Avanzato R (L502S),stockPowerPs,64,https://www.automobile-catalog.com/car/1995/568790/daihatsu_mira_tr-xx_avanzato_r.html,MED,Kei-class 64PS self-regulation cap,yes
MG-018,18,Daihatsu Mira TR-XX Avanzato R (L502S),stockTyre,155/60R13,https://cars.japanesecartrade.com/detail/daihatsu/mira-tr-xx/tr-xx-avanzato-r/126511,MED,,yes
MG-018,18,Daihatsu Mira TR-XX Avanzato R (L502S),styleBase,8,,SUGGESTION,"Aggressive turbo kei hot hatch with bonnet scoop and bodykit, similar tier to the Alto Works (9) but slightly less distinctive detailing",yes
MG-018,18,Daihatsu Mira TR-XX Avanzato R (L502S),torqueRpm,4000,https://cars.japanesecartrade.com/detail/daihatsu/mira-tr-xx/tr-xx-avanzato-r/126511,MED,,yes
MG-018,18,Daihatsu Mira TR-XX Avanzato R (L502S),tyreCompound,eco,https://cars.japanesecartrade.com/detail/daihatsu/mira-tr-xx/tr-xx-avanzato-r/126511,LOW,"Classification judgement from the economy-class 155/60R13 tyre size, matching the convention used for other kei cars in the file (Alto Works, Wagon R)",yes
MG-018,18,Daihatsu Mira TR-XX Avanzato R (L502S),wheelbaseMm,2300,https://www.goo-net-exchange.com/catalog/DAIHATSU__MIRA_TRXX/5001561/,MED,"Accessed via search aggregation, not a direct page fetch",yes
MG-018,18,Daihatsu Mira TR-XX Avanzato R (L502S),widthMm,1395,https://www.goo-net-exchange.com/catalog/DAIHATSU__MIRA_TRXX/5001561/,MED,"Accessed via search aggregation, not a direct page fetch",yes
MG-018,18,Daihatsu Mira TR-XX Avanzato R (L502S),yearFrom,1995,https://cars.japanesecartrade.com/detail/daihatsu/mira-tr-xx/tr-xx-avanzato-r/126511,MED,Avanzato R trim released October 1995; the base L502S Mira chassis dates from 1994,yes
MG-019,19,Eunos Roadster (NA6CE),aspiration,NA,https://www.automobile-catalog.com/car/1989/1640960/eunos_roadster.html,HIGH,,yes
MG-019,19,Eunos Roadster (NA6CE),chassisCode,NA6CE,https://en.wikipedia.org/wiki/Mazda_MX-5_(NA),MED,"Standard JDM 1.6L Eunos Roadster chassis designation, matching this row's own displayName",yes
MG-019,19,Eunos Roadster (NA6CE),dragCd,0.38,https://en.wikipedia.org/wiki/List_of_automobile_drag_coefficients,MED,"Cited for the 1989 Mazda Miata and corroborated on the separate MX-5 (NA) Wikipedia article; export-market figure, JDM Eunos Roadster shares the same body",yes
MG-019,19,Eunos Roadster (NA6CE),engineCode,B6-ZE,https://www.automobile-catalog.com/car/1989/1640960/eunos_roadster.html,MED,,yes
MG-019,19,Eunos Roadster (NA6CE),engineConfig,I4,https://www.automobile-catalog.com/car/1989/1640960/eunos_roadster.html,HIGH,,yes
MG-019,19,Eunos Roadster (NA6CE),heightMm,1230,https://en.wikipedia.org/wiki/Mazda_MX-5_(NA),MED,Export-market NA Miata figure; JDM Eunos Roadster shares the same platform/body,yes
MG-019,19,Eunos Roadster (NA6CE),powerRpm,6500,https://www.automobile-catalog.com/car/1989/1640960/eunos_roadster.html,MED,,yes
MG-019,19,Eunos Roadster (NA6CE),quotedPowerPs,120,https://www.automobile-catalog.com/car/1989/1640960/eunos_roadster.html,MED,"Real JDM 1.6L B6-ZE spec (120PS/6500rpm, matching this row's own powerRpm); this row's existing stockPowerPs (130), displacementCc (1840) and curbWeightKg (1057) appear to be Forza's larger 1.84L NA8C reference car instead, per this row's own existing note about the Forza comparison. Flagging for maintainer review",yes
MG-019,19,Eunos Roadster (NA6CE),stockTyre,185/60R14,https://en.wikipedia.org/wiki/Mazda_MX-5_(NA),LOW,Export-market Miata figure; JDM base grade may differ,yes
MG-019,19,Eunos Roadster (NA6CE),styleBase,12,,SUGGESTION,"Iconic, clean roadster silhouette with pop-up headlights; handsome but not dramatically staged like a gullwing or kei sports car",yes
MG-019,19,Eunos Roadster (NA6CE),torqueRpm,5500,https://www.automobile-catalog.com/car/1989/1640960/eunos_roadster.html,MED,,yes
MG-019,19,Eunos Roadster (NA6CE),tyreCompound,touring,https://en.wikipedia.org/wiki/Mazda_MX-5_(NA),LOW,"Classification judgement; accessible sports-roadster class, consistent with the MR2 AW11's touring rating elsewhere in the file",yes
MG-019,19,Eunos Roadster (NA6CE),wheelbaseMm,2265,https://en.wikipedia.org/wiki/Mazda_MX-5_(NA),MED,Export-market figure; see dragCd note,yes
MG-019,19,Eunos Roadster (NA6CE),widthMm,1675,https://en.wikipedia.org/wiki/Mazda_MX-5_(NA),MED,Export-market figure; see dragCd note,yes
MG-020,20,Honda CR-X SiR (EF8),quotedPowerPs,160,https://www.automobile-catalog.com/car/1991/1100630/honda_cr-x_sir.html,HIGH,Matches this row's existing stockPowerPs; below the 280PS ceiling so the advertised figure equals real output,yes
