ourId,ourName,forzaName,forzaYear,matchStatus,ps,nm,kg,frontPct,displacementCc,drivetrain,pi,lateralG97,lateralG193,brake97m,brake161m,accel097s,accel0161s,topSpeedKmh,mechBalance,aeroBalance,aeroEfficiency,wikiAgrees,notes
toyota-sera-exy10,Toyota Sera (EXY10),1991 Toyota Sera,1991,exact,109.4980,131.5145,929.8644,62,1500,FWD,344,0.87,0.89,50.5054,121.1885,10.405,30.621,192.7994,0.56,0.45,0.87,yes,Same EXY10 Sera.
nissan-s-cargo-fhk11*,Nissan S-Cargo (FHK11),1989 Nissan S-Cargo,1989,exact,72.9986,115.2447,949.8224,62,1490,FWD,131,0.83,0.85,57.6377,,17.374,,138.8864,0.44,0.47,0.80,yes,Same S-Cargo. Identical throughout.
subaru-alcyone-svx-cxd*,Subaru Alcyone SVX (CXD),1996 Subaru SVX,1996,exact,233.1901,309.1270,1623.8607,59,3320,AWD,466,0.88,0.89,41.6357,108.8441,7.209,18.004,252.3451,0.44,0.50,0.88,yes,"Same CXD SVX under its export name; 233 against our 240 PS, identical 309 N.m and about 1620 kg."
mitsubishi-gto-twin-turbo-z16a*,Mitsubishi GTO Twin Turbo (Z16A),1997 Mitsubishi GTO,1997,exact,324.4384,427.0833,1680.1061,61,2970,AWD,495,0.89,0.91,42.3672,107.1372,5.611,14.223,268.2776,0.42,0.52,0.87,yes,"Same Z16A GTO twin turbo, later facelift. Torque identical at 427 N.m; 324 against our 300 PS, our own quoted figure being 280. This is the car behind the 'Mitsubishi GTO 1997' row in forza-telemetry.md."
mitsubishi-starion-a187a*,Mitsubishi Starion (A187A),,,not-in-fh6,,,,,,,,,,,,,,,,,,absent,No Starion in FH6.
toyota-soarer-jzz30*,Toyota Soarer (JZZ30),1997 Toyota Soarer 2.5 GT-T,1997,exact,279.8281,378.2738,1569.8832,53,2490,RWD,491,0.88,0.88,46.1467,115.0925,6.924,15.834,271.4963,0.48,0.43,0.88,yes,JZZ30 1JZ-GTE facelift. Identical PS; 377 against our 363 N.m.
nissan-fairlady-240zg-hs30*,Nissan Fairlady 240ZG (HS30),,,not-in-fh6,,,,,,,,,,,,,,,,,,absent,"No stock S30 240Z or 240ZG in FH6. The only S30 present is a heavily modified Datsun 240z hill-climb build, which is not a usable analogue."
datsun-510-bluebird-pl510*,Datsun 510 / Bluebird (PL510),1970 Datsun 510,1970,exact,97.3315,135.5820,964.7910,54,1600,RWD,143,0.73,0.73,56.7538,137.4038,13.409,41.283,167.3718,0.49,0.00,0.82,yes,Same PL510. Identical PS and N.m.
nissan-skyline-2000gt-x-kenmeri-kgc110*,Nissan Skyline 2000GT-X Kenmeri (KGC110),1973 Nissan Skyline H/T 2000GT-R,1973,variant-differs,160.1915,176.2566,1144.8671,55,1990,RWD,407,0.81,0.81,50.2006,122.4991,8.917,22.802,208.4100,0.49,0.00,0.84,yes,"LOUD FLAG: same C110 Kenmeri body, but Forza's is the KPGC110 GT-R with the S20 twin-cam at 160 PS. Ours is the GT-X with the single-cam L20 at 130 PS, so Forza's is 23% more powerful. Different engine and trim entirely."
mazda-cosmo-sport-110s-l10a*,Mazda Cosmo Sport 110S (L10A),1972 Mazda Cosmo 110S Series II,1972,variant-differs,129.7754,139.6495,957.0799,50,1300,RWD,,,,,,,,,,,,absent,"Series II (L10B) against our Series I L10A: 128 hp against our 110 PS. DATA HOLE: ForzaLabs carries the car but every spec and measurement field is null, so the specs in this row come from the Forza Wiki infobox and ALL measurement columns are deliberately blank. kudosprime does not list the car either."
mercedes-190e-2-5-16-evo-ii-w201*,Mercedes 190E 2.5-16 Evo II (W201),1990 Mercedes-Benz 190E 2.5-16 Evolution II,1990,exact,238.2595,245.4034,1339.9119,53,2460,RWD,460,0.88,0.88,45.1104,112.8065,7.024,17.750,270.6917,0.48,0.43,0.89,absent,"Same Evo II. Identical N.m, kg and front%."
bmw-m3-e30*,BMW M3 (E30),1988 BMW M3,1988,exact,194.6630,230.4894,1252.8221,51,2300,RWD,474,0.89,0.91,46.4515,114.8182,6.784,19.323,250.2530,0.51,0.41,0.87,yes,"Same E30 M3. Identical PS, kg and front%."
lancia-delta-hf-integrale-evo*,Lancia Delta HF Integrale Evo,1992 Lancia Delta HF Integrale Evo,1992,exact,212.9127,303.7037,1299.9957,63,2000,AWD,489,0.91,0.92,42.3977,106.9848,5.926,17.202,219.3536,0.39,0.54,0.80,yes,Same Integrale Evo. Identical 1300 kg. Our spec book carries no front% figure; Forza says 63%.
alfa-romeo-75-3-0-v6*,Alfa Romeo 75 3.0 V6,,,not-in-fh6,,,,,,,,,,,,,,,,,,absent,No Alfa 75 in FH6.
ferrari-testarossa-f113*,Ferrari Testarossa (F113),1992 Ferrari 512 TR,1992,variant-differs,426.8393,488.0952,1673.7558,42,4940,RWD,615,1.07,1.11,37.4294,92.6592,4.917,10.519,316.8798,0.55,0.32,0.86,yes,"LOUD FLAG: the 512 TR is the SUCCESSOR model, not the Testarossa. 427 PS / 1674 kg against our 390 PS / 1506 kg, so 9% more power and 11% more weight. FH6 has no Testarossa; treat this as a related car, not a substitute."
lamborghini-countach-lp5000-qv*,Lamborghini Countach LP5000 QV,1988 Lamborghini Countach LP5000 QV,1988,exact,461.3109,500.2976,1489.5973,41,5170,RWD,622,1.10,1.15,39.3192,96.2863,4.839,11.699,299.8208,0.57,0.36,0.84,yes,Same LP5000 QV. Identical 500 N.m and 1490 kg. See the known trap in forza-telemetry.md: the 461 PS label is historically optimistic.
rover-mini-cooper-1-3i*,Rover Mini Cooper 1.3i,1965 MINI Cooper S,1965,variant-differs,76.0403,108.4656,671.3167,60,1280,FWD,158,0.75,0.74,52.3951,,10.387,,159.9688,0.59,0.00,0.84,yes,"LOUD FLAG: Forza's is the 1965 twin-carb Cooper S at 76 PS against our 1992 fuel-injected Cooper 1.3i at 63 PS, so 21% more power. Same platform and same 1275 cc, but 27 years and a different state of tune apart."
ferrari-f355-berlinetta-f129*,Ferrari F355 Berlinetta (F129),1994 Ferrari F355 Berlinetta,1994,exact,380.2013,363.3598,1449.6812,41,3500,RWD,588,1.07,1.12,38.3743,95.3414,4.747,10.939,300.4645,0.58,0.31,0.88,yes,"Same F355. Identical PS, N.m, kg and front%."
bmw-m3-e36*,BMW M3 (E36),1997 BMW M3,1997,variant-differs,325.4523,349.8016,1460.1138,50,3200,RWD,549,0.92,0.93,44.0436,108.7222,5.249,12.056,282.4399,0.53,0.40,0.86,yes,"Forza's is the 3.2 Evo (S50B32) at 325 PS against our 3.0 (S50B30) at 286 PS, 14% more. Same E36 generation, later engine. Identical 1460 kg and 50% front."
ford-escort-rs-cosworth*,Ford Escort RS Cosworth,1992 Ford Escort RS Cosworth,1992,exact,227.1069,303.7037,1275.0482,56,1990,AWD,456,0.89,0.90,43.2206,110.3681,6.111,17.214,230.2971,0.48,0.47,0.85,yes,"Same car. Identical PS, N.m and kg."
vw-golf-gti-mk2-16v*,VW Golf GTI Mk2 16V,1992 Volkswagen Golf GTI 16V Mk2,1992,exact,140.9279,162.6984,1099.9615,63,1780,FWD,308,0.81,0.80,48.7375,124.0841,8.032,23.480,206.3179,0.58,0.00,0.86,yes,"Same Mk2 GTI 16V and near-identical output, BUT kerb weight differs badly: Forza 1100 kg against our 907 kg, 21% apart. Our 907 kg looks too light for this car and is the likelier error."
mazda-savanna-rx7-fc3s,Mazda Savanna RX-7 (FC3S),1990 Mazda Savanna RX-7,1990,variant-differs,202.7740,265.7407,1352.1589,51,1310,RWD,451,0.87,0.89,46.0858,113.8428,6.517,17.300,251.3795,0.51,0.41,0.89,yes,"Same FC3S Savanna, but Forza models the later Turbo II: 203 PS / 1352 kg against our 185 PS / 1230 kg, so 10% more power and 10% more weight. FH6's other FC-era car, the 1985 RX-7 at 137 PS, is the naturally aspirated version and sits further away still."
eunos-cosmo-jc*,Eunos Cosmo (JC),,,not-in-fh6,,,,,,,,,,,,,,,,,,absent,No JC Eunos Cosmo (20B) in FH6.
subaru-impreza-wrx-sti-gc8,Subaru Impreza WRX STI (GC8),,,not-in-fh6,,,,,,,,,,,,,,,,,,absent,"FH6 has no plain GC8 WRX STI. Its only GC8 is the 22B, which is our separate roster entry."
toyota-celica-gt-four-st205*,Toyota Celica GT-Four (ST205),1994 Toyota Celica GT-Four ST205,1994,exact,258.5369,324.0410,1440.1558,59,2000,AWD,500,0.90,0.93,42.6110,107.2896,5.369,15.659,247.9999,0.55,0.96,0.83,no,"Same ST205. SOURCE CONFLICT on power, see the reconciliation note.  || POWER CONFLICT: ForzaLabs 272 hp vs Forza Wiki 255 hp; kudosprime reads 190 kW (255 hp), so Forza Wiki wins and 258.5 PS is used  || WEIGHT CONFLICT: ForzaLabs 3064 lbs vs Forza Wiki 3175 lbs; kudosprime reads 1440 kg, so Forza Wiki wins and 1440.2 kg is used  || wiki disagrees on power wiki 255 vs ForzaLabs 272; torque wiki 224 vs ForzaLabs 239; weight wiki 3175 vs ForzaLabs 3064; front% wiki 60 vs ForzaLabs 59"
nissan-pulsar-gti-r-rnn14*,Nissan Pulsar GTI-R (RNN14),1990 Nissan Pulsar GTI-R,1990,exact,230.1485,283.3664,1240.1215,62,2000,AWD,486,0.86,0.86,45.0494,116.3117,4.928,13.931,243.1719,0.41,0.53,0.84,yes,Same RNN14. Identical PS.
mazda-familia-gt-r-bg8z*,Mazda Familia GT-R (BG8Z),,,not-in-fh6,,,,,,,,,,,,,,,,,,absent,No Familia GT-R in FH6.
nissan-350z-z33*,Nissan 350Z (Z33),2003 Nissan Fairlady Z,2003,exact,290.9807,370.1389,1501.3907,53,3500,RWD,534,0.93,0.95,43.8912,109.1794,5.749,14.258,283.5664,0.48,0.38,0.88,yes,Same Z33 under its JDM name. Identical 291 PS and 53% front; 1501 against our 1446 kg.
mazda-rx-8-se3p*,Mazda RX-8 (SE3P),2011 Mazda RX-8 R3,2011,variant-differs,235.2178,215.5754,1390.2606,52,1310,RWD,508,0.93,0.95,44.5008,109.2098,5.884,15.863,250.7358,0.49,0.37,0.86,yes,"Forza's is the Series 2 R3 at 235 PS / 1390 kg against our Series 1 at 250 PS / 1310 kg. Same SE3P shell, later facelift, 6% less power and 6% more weight. Identical 216 N.m."
mitsubishi-lancer-evo-viii-mr-ct9a*,Mitsubishi Lancer Evo VIII MR (CT9A),2004 Mitsubishi Lancer Evolution VIII MR,2004,exact,309.2303,427.0833,1410.2187,60,2000,AWD,555,0.92,0.93,40.9042,105.0036,4.728,12.436,271.6573,0.41,0.51,0.87,yes,Same CT9A Evo VIII MR.
honda-integra-type-r-dc5*,Honda Integra Type R (DC5),2002 Acura RSX Type-S,2002,variant-differs,202.7740,192.5264,1279.1305,61,2000,FWD,462,0.90,0.92,43.2511,109.6061,6.666,17.778,238.5048,0.60,0.46,0.87,yes,"LOUD FLAG: Forza has no DC5 Integra Type R. The RSX Type-S is the US-market DC5 with the lower-output K20A2 at 203 PS / 1279 kg against our JDM Type R at 220 PS / 1170 kg, so 8% less power and 9% more weight."
daihatsu-copen-l880k*,Daihatsu Copen (L880K),,,not-in-fh6,,,,,,,,,,,,,,,,,,absent,No Daihatsu marque in FH6 at all.
nissan-gt-r-r35*,Nissan GT-R (R35),2012 Nissan GT-R Black Edition (R35),2012,variant-differs,549.5175,631.8121,1763.1135,55,3800,AWD,703,1.07,1.13,32.5222,81.7474,2.754,6.864,341.3419,0.46,0.46,0.87,yes,"LOUD FLAG: FH6's earliest R35 is the 2012 Black Edition at 550 PS / 1763 kg against our 2007 launch car at 480 PS / 1740 kg, 15% more power. FH6 also carries 2017 (573 PS), 2020 and 2024 R35s, all further from ours."
lexus-lfa*,Lexus LFA,2010 Lexus LFA,2010,exact,559.6562,479.9603,1480.0719,48,4810,RWD,699,1.03,1.09,30.9067,73.4568,3.660,7.694,327.1796,0.53,0.36,0.84,yes,Same LFA. Identical throughout. Hand-measured car.
nissan-skyline-gt-r-v-spec-ii-bnr34*,Nissan Skyline GT-R V-Spec II (BNR34),2000 Nissan Skyline GT-R V-Spec II,2000,exact,284.8975,391.8320,1559.9042,55,2570,AWD,590,0.92,0.96,41.5747,103.7844,4.546,10.571,283.0836,0.46,0.50,0.85,yes,"Same BNR34 V-Spec II, identical 1560 kg. Our 320 PS is a real-output estimate against Forza's 285 PS label. SEE THE VALIDATION REPORT: this is the one car of nine where the hand-measured fingerprint disagrees with ForzaLabs, and two other sources side with ForzaLabs."
honda-nsx-r-na1*,Honda NSX-R (NA1),1992 Honda NSX-R,1992,exact,279.8281,294.2129,1230.1425,42,2980,RWD,572,1.07,1.13,38.7401,95.5548,4.632,11.460,275.3588,0.59,0.32,0.88,yes,Same NA1 NSX-R. Identical throughout. Hand-measured car.
nissan-skyline-gt-r-hakosuka-kpgc10*,Nissan Skyline GT-R Hakosuka (KPGC10),1971 Nissan Skyline 2000GT-R,1971,exact,162.2192,180.3241,1099.9615,54,1990,RWD,380,0.79,0.79,52.3646,129.4486,6.936,19.706,212.9162,0.49,0.00,0.85,yes,The KPGC10 Hakosuka GT-R. Identical 1100 kg; 162 against our 160 PS.
nissan-fairlady-z432-ps30*,Nissan Fairlady Z432 (PS30),1969 Nissan Fairlady Z 432,1969,exact,162.2192,180.3241,1046.8912,51,1990,RWD,369,0.81,0.80,51.6636,126.9797,8.620,26.714,198.7540,0.50,0.00,0.83,yes,"Same PS30 Z432. 162 against our 160 PS, 1047 against our 1040 kg."
subaru-impreza-22b-sti*,Subaru Impreza 22B STi,1998 Subaru Impreza 22B-STi Version,1998,exact,279.8281,359.2923,1270.0586,58,2210,AWD,600,0.95,1.00,39.7764,101.9861,4.534,12.789,262.3231,0.44,0.49,0.84,yes,Same 22B. Identical 1270 kg; Forza labels 280 PS against our 300 PS real-output estimate.
mitsubishi-lancer-evo-vi-tommi-makinen-cp9a*,Mitsubishi Lancer Evo VI Tommi Makinen (CP9A),2001 Mitsubishi Lancer Evolution VI GSR TM Edition,2001,exact,279.8281,372.8505,1280.0377,58,2000,AWD,574,0.95,1.03,40.6298,101.5594,4.520,9.650,240.1141,0.44,0.49,0.77,yes,"MAINTAINER-FLAGGED TRAP: FH6 carries the 2001 GSR TM Edition, not the 1999 GSR that older Forza titles had. Identical 373 N.m, 1280 kg and 58% front. Hand-measured car."
toyota-2000gt-mf10*,Toyota 2000GT (MF10),1969 Toyota 2000GT,1969,exact,152.0805,176.2566,1156.6605,51,1990,RWD,377,0.79,0.79,51.1454,127.8941,8.116,22.908,228.0440,0.49,0.00,0.88,yes,Same MF10. Identical 176 N.m; 1157 against our 1120 kg.
mazda-autozam-az-1-pg6sa*,Mazda Autozam AZ-1 (PG6SA),1993 Autozam AZ-1,1993,exact,63.8738,85.4167,719.8511,44,660,RWD,342,0.87,0.92,47.1526,117.0127,10.329,26.700,189.0979,0.57,0.34,0.90,yes,Same AZ-1. Identical throughout.
mazda-rx-7-spirit-r-fd3s*,Mazda RX-7 Spirit R (FD3S),,,not-in-fh6,,,,,,,,,,,,,,,,,,absent,"FH6 has no Spirit R. Its only FD3S is the 1992 Type R at 255 PS, which is already assigned to our 1991 FD3S entry; deliberately not double-mapped."
nissan-silvia-spec-r-s15*,Nissan Silvia Spec-R (S15),2002 Nissan Silvia Spec-R,2002,exact,253.4675,277.9431,1240.1215,51,2000,RWD,551,0.92,0.97,44.0436,108.0821,5.450,13.957,279.8649,0.50,0.39,0.87,yes,"Same S15 Spec-R. 253 against our 250 PS, identical 1240 kg."
nissan-fairlady-z-z32,Nissan Fairlady Z (Z32),1994 Nissan Fairlady Z Version S Twin Turbo,1994,exact,279.8281,383.6971,1519.9880,54,2960,RWD,497,0.90,0.91,45.5371,113.2027,5.441,14.448,264.8980,0.48,0.44,0.87,yes,"Same Z32 twin turbo, later Version S trim. Forza labels 280 PS, matching our spec book's gps; 1520 against our 1570 kg."
toyota-aristo-30v-jzs147,Toyota Aristo 3.0V (JZS147),,,not-in-fh6,,,,,,,,,,,,,,,,,,absent,No Aristo in FH6.
autech-stagea-260rs-wgnc34*,Autech Stagea 260RS (WGNC34),1997 Nissan Stagea RS Four V,1997,variant-differs,235.2178,273.8756,1619.7784,57,2500,AWD,439,0.85,0.86,46.5430,116.6470,8.100,20.087,236.5736,0.43,0.47,0.84,yes,"LOUD FLAG: Forza's Stagea is the RS Four V with the RB25DET at 235 PS / 1620 kg. Ours is the Autech 260RS with the RB26DETT at 320 PS / 1720 kg, so Forza's has 27% less power. Same wagon, completely different engine."
toyota-altezza-rs200-z-edition-sxe10*,Toyota Altezza RS200 Z Edition (SXE10),1999 Toyota Altezza RS200 Z Edition,1999,exact,210.8850,215.5754,1359.8699,50,2000,RWD,461,0.89,0.91,45.3542,113.0503,6.828,17.656,252.0233,0.51,0.35,0.88,yes,Same SXE10 RS200 Z Edition. Identical 216 N.m. Hand-measured car.
honda-s2000-ap1*,Honda S2000 (AP1),2003 Honda S2000,2003,exact,250.4259,218.2870,1250.1006,50,2000,RWD,503,0.91,0.93,45.2323,112.1969,6.124,15.331,264.0934,0.49,0.35,0.87,yes,"AP1 S2000, final AP1 model year. Identical PS, N.m, kg and front%."
toyota-mr2-sw20,Toyota MR2 GT-S (SW20),1995 Toyota MR2 GT,1995,variant-differs,244.3427,309.1270,1205.1949,42,2000,RWD,522,0.90,0.91,44.8970,114.4219,5.429,13.953,267.1511,0.60,0.32,0.89,yes,"Same SW20 turbo but a later revision: 244 PS against our 225 PS, 8% more. Identical torque near 305 N.m and 42 to 43% front."
toyota-mr2-aw11,Toyota MR2 (AW11),1989 Toyota MR2 SC,1989,exact,147.0112,189.8148,1188.4120,43,1590,RWD,397,0.84,0.87,47.5488,118.8110,6.882,19.440,225.7910,0.58,0.33,0.88,yes,"Same AW11 supercharged. 147 against our 145 PS, but 1188 against our 1070 kg is an 11% gap worth a look."
daihatsu-mira-tr-xx-l70*,Daihatsu Mira TR-XX (L70),,,not-in-fh6,,,,,,,,,,,,,,,,,,absent,No Daihatsu marque in FH6 at all.
toyota-carina-at150,Toyota Carina (AT150),,,not-in-fh6,,,,,,,,,,,,,,,,,,absent,No Carina in FH6.
nissan-sunny-b12,Nissan Sunny (B12),,,not-in-fh6,,,,,,,,,,,,,,,,,,absent,No B12 Sunny in FH6.
honda-today-jw1*,Honda Today (JW1),,,not-in-fh6,,,,,,,,,,,,,,,,,,absent,No Today in FH6.
subaru-vivio-rx-r-kk4*,Subaru Vivio RX-R (KK4),1994 Subaru Vivio RX-R,1994,exact,63.8738,88.1283,760.2208,58,660,AWD,281,0.85,0.90,48.2194,121.0056,11.348,46.369,170.7514,0.44,0.43,0.88,yes,Same KK4 Vivio RX-R. Identical PS and N.m; 760 against our 700 kg.
daihatsu-mira-tr-xx-avanzato-r-l502s*,Daihatsu Mira TR-XX Avanzato R (L502S),,,not-in-fh6,,,,,,,,,,,,,,,,,,absent,No Daihatsu marque in FH6 at all.
honda-acty-ha4*,Honda Acty (HA4),1994 Honda Acty,1994,exact,37.5132,54.2328,770.1998,52,660,AWD,100,0.80,0.80,49.5605,,24.640,,111.3666,0.51,0.32,0.74,yes,"Same HA4 Acty. Identical throughout. Hand-measured car; it cannot reach 161 km/h, so both 161 km/h measurements are legitimately absent rather than missing."
suzuki-cappuccino-ea11r*,Suzuki Cappuccino (EA11R),,,not-in-fh6,,,,,,,,,,,,,,,,,,absent,No Suzuki marque in FH6 at all.
honda-beat-pp1,Honda Beat (PP1),1991 Honda Beat,1991,exact,63.8738,59.6561,760.2208,43,660,RWD,283,0.87,0.92,49.2862,119.1463,11.946,38.124,177.0278,0.58,0.33,0.90,yes,Same PP1 Beat. Identical throughout.
eunos-roadster-na6ce*,Eunos Roadster (NA6CE),1994 Mazda MX-5 Miata,1994,variant-differs,129.7754,149.1402,1056.8702,51,1840,RWD,329,0.84,0.84,49.7129,123.2306,8.800,25.962,202.2945,0.50,0.41,0.86,yes,"Forza's is the NA8C 1.84 L at 130 PS / 1057 kg against our NA6CE 1.6 L at 120 PS / 940 kg, so 8% more power and 12% more weight. Same NA generation, bigger engine."
